Year,State ID,State,Trade Value
2012,24,San Luis Potosí,22772570998
2012,25,Sinaloa,9006554647
2012,26,Sonora,49431889955
2012,27,Tabasco,2254115267
2012,28,Tamaulipas,1.27333E+11
2012,29,Tlaxcala,1681658431
2012,30,Veracruz de Ignacio de la Llave,11585827693
2012,31,Yucatán,7201505982
2012,32,Zacatecas,4176926262
2012,33,No Informado,60531865364
2013,1,Aguascalientes,15711744143
2013,2,Baja California,1.93645E+11
2013,3,Baja California Sur,1486404337
2013,4,Campeche,1090086783
2013,5,Coahuila de Zaragoza,68932706302
2013,6,Colima,309788066
2013,7,Chiapas,770605024
2013,8,Chihuahua,2.49621E+11
2013,9,Ciudad de México,5.83013E+11
2013,10,Durango,7232153569
2013,11,Guanajuato,38217891712
2013,12,Guerrero,48104125
2013,13,Hidalgo,1933613512
2013,14,Jalisco,1.39871E+11
2013,15,Estado de México,81868020787
2013,16,Michoacán de Ocampo,7956292650
2013,17,Morelos,2957806793
2013,18,Nayarit,142356385
2013,19,Nuevo León,1.7694E+11
2013,20,Oaxaca,287781807
2013,21,Puebla,41271525333
2013,22,Querétaro,46235382338
2013,23,Quintana Roo,1286614513
2013,24,San Luis Potosí,22970894262
2013,25,Sinaloa,8772381914
2013,26,Sonora,52621726012
2013,27,Tabasco,2183860012
2013,28,Tamaulipas,1.2764E+11
2013,29,Tlaxcala,1568488588
2013,30,Veracruz de Ignacio de la Llave,12076487392
2013,31,Yucatán,6825773850
2013,32,Zacatecas,2777579936
2013,33,No Informado,59564960166
2014,1,Aguascalientes,18868085630
2014,2,Baja California,2.13378E+11
2014,3,Baja California Sur,968772242
2014,4,Campeche,994245295
2014,5,Coahuila de Zaragoza,75567190244
2014,6,Colima,400687873
2014,7,Chiapas,744179633
2014,8,Chihuahua,2.73225E+11
2014,9,Ciudad de México,6.67666E+11
2014,10,Durango,7860147885
2014,11,Guanajuato,45216058147
2014,12,Guerrero,100884796
2014,13,Hidalgo,2622473655
2014,14,Jalisco,1.45393E+11
2014,15,Estado de México,86298217732
2014,16,Michoacán de Ocampo,9006779922
2014,17,Morelos,3083737282
2014,18,Nayarit,141785853
2014,19,Nuevo León,1.88274E+11
2014,20,Oaxaca,388129656
2014,21,Puebla,45493475009
2014,22,Querétaro,49833053385
2014,23,Quintana Roo,1498968569
2014,24,San Luis Potosí,26492703679
2014,25,Sinaloa,9711371908
2014,26,Sonora,53313636067
2014,27,Tabasco,1965790700
2014,28,Tamaulipas,1.37148E+11
2014,29,Tlaxcala,1857257871
2014,30,Veracruz de Ignacio de la Llave,11801778857
2014,31,Yucatán,8121315253
2014,32,Zacatecas,2464256809
2014,33,No Informado,12296641732
2015,1,Aguascalientes,19025166925
2015,2,Baja California,2.20676E+11
2015,3,Baja California Sur,967077437
2015,4,Campeche,780435359
2015,5,Coahuila de Zaragoza,79374279378
2015,6,Colima,371007307
2015,7,Chiapas,476781445
2015,8,Chihuahua,2.68957E+11
2015,9,Ciudad de México,6.2577E+11
2015,10,Durango,8188985656
2015,11,Guanajuato,53606258722
2015,12,Guerrero,50704683
2015,13,Hidalgo,3156858742
2015,14,Jalisco,1.62065E+11
2015,15,Estado de México,84077820448
2015,16,Michoacán de Ocampo,9286020121
2015,17,Morelos,3532044244
2015,18,Nayarit,171754904
2015,19,Nuevo León,1.89932E+11
2015,20,Oaxaca,377728606
2015,21,Puebla,51154342084
2015,22,Querétaro,54285712902
2015,23,Quintana Roo,1488256050
2015,24,San Luis Potosí,28280647621
2015,25,Sinaloa,9897005686
2015,26,Sonora,50333554311
2015,27,Tabasco,1385717066
